さいたま市町名別人口,2022/2/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11104,見沼区　　               ,大字笹丸　　　　　　,ササマル　　　　　　,126,134,129,263
11104,見沼区　　               ,大字御蔵　　　　　　,ミクラ　　　　　　　,2875,3226,3278,6504
11104,見沼区　　               ,大字南中野　　　　　,ミナミナカノ　　　　,3422,3733,3897,7630
11104,見沼区　　               ,大字南中丸　　　　　,ミナミナカマル　　　,4327,4835,4999,9834
11104,見沼区　　               ,大字中川　　　　　　,ナカガワ　　　　　　,3565,3963,4086,8049
11104,見沼区　　               ,大字上山口新田　　　,カミヤマグチシンデン,342,369,372,741
11104,見沼区　　               ,大字西山村新田　　　,ニシヤマムラシンデン,24,21,23,44
11104,見沼区　　               ,大字新右エ門新田　　,シンウエモンシンデン,37,52,33,85
11104,見沼区　　               ,大字加田屋新田　　　,カタヤシンデン　　　,1,1,2,3
11104,見沼区　　               ,加田屋１丁目　　　　,カタヤ１チヨウメ　　,3,1,3,4
11104,見沼区　　               ,加田屋２丁目　　　　,カタヤ２チヨウメ　　,1,1,0,1
11104,見沼区　　               ,大字西山新田　　　　,ニシヤマシンデン　　,4,4,2,6
11104,見沼区　　               ,大字見山　　　　　　,ミヤマ　　　　　　　,2,1,1,2
11104,見沼区　　               ,大字膝子　　　　　　,ヒザコ　　　　　　　,289,329,333,662
11104,見沼区　　               ,大字大谷　　　　　　,オオヤ　　　　　　　,4469,4697,4713,9410
11104,見沼区　　               ,大字蓮沼　　　　　　,ハスヌマ　　　　　　,4682,5273,5440,10713
11104,見沼区　　               ,大字風渡野　　　　　,フツトノ　　　　　　,1775,1723,1855,3578
11104,見沼区　　               ,大字東門前　　　　　,ヒガシモンゼン　　　,1905,2017,1974,3991
11104,見沼区　　               ,大字東宮下　　　　　,ヒガシミヤシタ　　　,1667,1645,1864,3509
11104,見沼区　　               ,東宮下１丁目　　　　,ヒガシミヤシタ１チヨ,92,83,96,179
11104,見沼区　　               ,東宮下２丁目　　　　,ヒガシミヤシタ２チヨ,204,229,227,456
11104,見沼区　　               ,東宮下３丁目　　　　,ヒガシミヤシタ３チヨ,41,50,51,101
11104,見沼区　　               ,大字新堤　　　　　　,ニイヅツミ　　　　　,1485,1395,1513,2908
11104,見沼区　　               ,大字深作　　　　　　,フカサク　　　　　　,303,325,332,657
11104,見沼区　　               ,深作１丁目　　　　　,フカサク１チヨウメ　,643,810,772,1582
11104,見沼区　　               ,深作２丁目　　　　　,フカサク２チヨウメ　,471,576,548,1124
11104,見沼区　　               ,深作３丁目　　　　　,フカサク３チヨウメ　,675,829,779,1608
11104,見沼区　　               ,深作５丁目　　　　　,フカサク５チヨウメ　,97,129,114,243
