No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
501,放課後児童クラブ,原山放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区原山１丁目22番20,139.6737952,35.8678076
502,放課後児童クラブ,大牧放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区東浦和６丁目13番15,139.7062927,35.8728879
503,放課後児童クラブ,本太放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区本太４丁目3番39,139.6568972,35.8656386
504,放課後児童クラブ,大門放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区大字大門1361番13,139.7333349,35.8821515
505,放課後児童クラブ,新開放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区新開２丁目18番1,139.6174729,35.8507174
506,放課後児童クラブ,針ケ谷放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区領家７丁目2番19,139.6500344,35.8811049
507,放課後児童クラブ,大東放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区大東３丁目14番1,139.6643849,35.8834452
508,放課後児童クラブ,文蔵放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区文蔵４丁目19番3,139.6695771,35.837957
509,放課後児童クラブ,大谷口放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区大字大谷口993番16,139.6811586,35.8602188
510,放課後児童クラブ,浦和別所放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区別所２丁目15番6,139.6461043,35.8513468
511,放課後児童クラブ,道祖土放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区道祖土１丁目1番1,139.6694647,35.8747684
512,放課後児童クラブ,高砂放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区岸町４丁目1番29,139.6567957,35.8565402
513,放課後児童クラブ,大谷場東放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区大谷場２丁目13番54,139.6742528,35.8534215
514,放課後児童クラブ,浦和大里放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区鹿手袋４丁目1番12,139.6421426,35.8487029
515,放課後児童クラブ,宮前放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区宮前町443番,139.5946766,35.9241206
516,放課後児童クラブ,七里放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,見沼区大字東宮下392番,139.6761569,35.9307008
517,放課後児童クラブ,佐知川放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区大字佐知川299番16,139.5875339,35.9036393
518,放課後児童クラブ,三橋放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,大宮区三橋２丁目59番,139.6039596,35.9028746
519,放課後児童クラブ,植竹放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,北区盆栽町430番,139.6281166,35.9273665
520,放課後児童クラブ,天沼放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,大宮区天沼町１丁目194番,139.636951,35.9062195
521,放課後児童クラブ,宮原放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,北区宮原町４丁目66番13,139.6109898,35.9471921
522,放課後児童クラブ,植水放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区大字中野林174番1,139.5921074,35.8937691
523,放課後児童クラブ,本郷放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,北区本郷町1065番3,139.6262123,35.9456886
524,放課後児童クラブ,海老沼放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,見沼区大字東新井710番78,139.6646815,35.9048395
525,放課後児童クラブ,春野放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,見沼区春野１丁目7番1,139.6679948,35.9556838
526,放課後児童クラブ,東大宮放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,見沼区東大宮７丁目5番18,139.645493,35.9467591
527,放課後児童クラブ,与野八幡放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区本町東５丁目23番14,139.6218811,35.8905035
