No,行政区,店舗名,指定区分,住所,内容,店舗詳細,経度,緯度
11,北区,Ristorante YUNO,[バ・情]  バランスメニュー提供・健康情報発信,北区土呂町1-2-13,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51842,139.629209,35.930002
12,北区,和生菓子　豆の木,[情]  健康情報発信,北区日進町2-810,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52095,139.60779,35.93001
13,北区,"TOROto
コスモキッチン",[バ・情]  バランスメニュー提供・健康情報発信,"北区土呂町2-12-20
コスモスクエア4F",和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52103,139.63267,35.93231
14,北区,ブーランジェリークック,[情]  健康情報発信,北区盆栽町526-9,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52105,139.62805,35.92903
15,大宮区,大宮太陽の家,[情]  健康情報発信,"大宮区北袋町
2-394-2",洋菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=33420,139.64535,35.89215
16,大宮区,庄や 大宮西口店,[バ・情]  バランスメニュー提供・健康情報発信,大宮区桜木町2-65DOM2号館1階,和洋中,,139.621027,35.907261
17,大宮区,定食のまる大　大宮東口店,[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町2-28あじせんビル1階,和洋中,,139.626674,35.908678
18,大宮区,東晶大飯店,[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町2-28あじせんビル３階,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=22140,139.626689,35.908745
19,大宮区,自治医大さいたま医療センター社員食堂,[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-847自治医科大学さいたま医療センター内,和洋中,,139.645281,35.907073
20,大宮区,みぬま(さいたま外来レストラン営業所),[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-847自治医科大学さいたま医療センター内,和洋中,,139.645281,35.907073
21,大宮区,"俺の洋食　
ビストロ　ボナペティ",[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町1-82-2F,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52038,139.62595,35.90823
22,大宮区,喫茶ルポーズ,[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-136-2,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52282,139.64064,35.90708
23,大宮区,よね屋煎餅店,[情]  健康情報発信,大宮区宮町３－１１３－１３,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52459,139.62876,35.91141
24,見沼区,亀屋製菓,[情]  健康情報発信,見沼区東大宮4-21-4,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=30860,139.638552,35.950172
25,見沼区,ちひろ珈琲,[情]  健康情報発信,見沼区東大宮5-47-1,コーヒー豆,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=31960,139.642188,35.950255
26,見沼区,"パティスリー
スプランディード",[情]  健康情報発信,"見沼区東大宮
5-47-29",洋菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=28322,139.642296,35.950508
27,見沼区,ボナペティ食堂,[バ・情]  バランスメニュー提供・健康情報発信,見沼区堀崎町12-36 見沼区役所3階,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52053,139.65424,35.93535
28,見沼区,"そめや共同作業所
（弁当屋いちず）",[バ・情]  バランスメニュー提供・健康情報発信,見沼区染谷2－145,和洋中,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52449,139.68887,35.91117
29,中央区,きりしき共同作業所,[情]  健康情報発信,中央区円阿弥１-３-１５,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=30885,139.611956,35.887441
30,中央区,展望レストラン,[バ・情]  バランスメニュー提供・健康情報発信,"中央区本町東
6-11-1埼玉精神神経センター7F",和洋中,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=32500,139.617386,35.89446
31,中央区,大こくや,[情]  健康情報発信,"中央区本町東
2-17-2",和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52142,139.62562,35.88263
32,中央区,手打そば尾沼,[バ・情]  バランスメニュー提供・健康情報発信,中央区上落合５－２－３,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52460,139.62876,35.89352
33,中央区,"acquacotta
(アクアコッタ）",[バ・情]  バランスメニュー提供・健康情報発信,中央区下落合7－6－13,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52461,139.62904,35.88007
34,桜区,埼玉大学第１食堂,[バ・情]  バランスメニュー提供・健康情報発信,桜区下大久保255,和洋中,,139.606786,35.862046
35,桜区,埼玉大学第２食堂,[バ・情]  バランスメニュー提供・健康情報発信,桜区下大久保255,和洋中,,139.606124,35.864784
36,桜区,しびらきベーカリー,[情]  健康情報発信,桜区新開1-4-13,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51032,139.621551,35.848074
37,桜区,やはぎ,[バ・情]  バランスメニュー提供・健康情報発信,桜区白鍬541,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50982,139.604309,35.885794
38,桜区,松栄庵,[バ・情]  バランスメニュー提供・健康情報発信,桜区上大久保650-1,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50985,139.612754,35.867371
39,桜区,中華　みっちゃん,[バ・情]  バランスメニュー提供・健康情報発信,桜区道場2-12-1,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50984,139.613893,35.857845
40,桜区,"Hito-tsu
ひとつながるカフェ",[バ・情]  バランスメニュー提供・健康情報発信,桜区新開1-6-28,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51031,139.62144,35.847928
