種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,蓮沼小学校,埼玉県さいたま市見沼区蓮沼1070,35.93432128,139.6604916,ハスヌマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷小学校,埼玉県さいたま市見沼区大谷18,35.92125218,139.6658113,オオヤショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,島小学校,埼玉県さいたま市見沼区島町533-2,35.94675614,139.6514798,シマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,東宮下小学校,埼玉県さいたま市見沼区東宮下215-1,35.92599353,139.6776213,ヒガシミヤシタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,海老沼小学校,埼玉県さいたま市見沼区東新井710-5,35.90839485,139.6600794,エビヌマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,春野小学校,埼玉県さいたま市見沼区春野1-10-1,35.95662243,139.66731,ハルノショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大砂土中学校,埼玉県さいたま市見沼区東大宮1-100-1,35.93796292,139.6445675,オオサトチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,片柳中学校,埼玉県さいたま市見沼区御蔵551,35.90682891,139.6740358,カタヤナギチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,春里中学校,埼玉県さいたま市見沼区小深作268-19,35.94089584,139.6640905,ハルサトチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,七里中学校,埼玉県さいたま市見沼区東宮下1-1-1,35.92771862,139.6808516,ナナサトチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷中学校,埼玉県さいたま市見沼区大谷1634-2,35.92526686,139.6667605,オオヤチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮八幡中学校,埼玉県さいたま市見沼区南中丸357,35.91919511,139.6534309,オオミヤヤハタチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,春野中学校,埼玉県さいたま市見沼区春野2-2-1,35.95645041,139.663188,ハルノチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町1-356,35.9274284,139.6452851,ケンリツオオミヤショウギョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮東高等学校,埼玉県さいたま市見沼区膝子567,35.92659768,139.6851227,ケンリツオオミヤヒガシコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大砂土東公民館,埼玉県さいたま市見沼区大和田町2-1445,35.9314062,139.6488215,オオサトヒガシコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,片柳公民館,埼玉県さいたま市見沼区東新井117-2,35.9097372,139.6708201,カタヤナギコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,七里公民館,埼玉県さいたま市見沼区東宮下265-1,35.9272214,139.6774135,ナナサトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,春岡公民館,埼玉県さいたま市見沼区深作1-5-1,35.950796,139.6643694,ハルオカコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野本町小学校,埼玉県さいたま市中央区本町東3-5-23,35.88364161,139.6226996,ヨノホンマチショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上落合小学校,埼玉県さいたま市中央区上落合4-14-24,35.89401982,139.6255678,カミオチアイショウガッコウ,あり
