種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,地震,洪水,崖崩れ,大規模な火事,指定避難所との重複
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立与野高等学校,埼玉県さいたま市中央区本町西2-8-1,35.88439259,139.6183393,ケンリツヨノコウトウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野公園,埼玉県さいたま市中央区本町西1-14,35.88166313,139.6182011,ヨノコウエン,可,可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,八王子公園,埼玉県さいたま市中央区八王子4-2,35.88021385,139.6083088,ハチオウジコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野中央公園,埼玉県さいたま市中央区新中里4-7-2,35.87770686,139.6316149,ヨノチュウオウコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大戸公園,埼玉県さいたま市中央区大戸2-11、14,35.86412132,139.6349958,オオトコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,下落合環境空間緑道,埼玉県さいたま市中央区下落合4-35-3,35.8868002,139.6262181,シモオチアイカンキョウクウカンリョクドウ,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,土合小学校,埼玉県さいたま市桜区西堀7-21-1,35.8578218,139.626635,ツチアイショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大久保小学校,埼玉県さいたま市桜区五関21,35.87247505,139.598435,オオクボショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,栄和小学校,埼玉県さいたま市桜区栄和1-7-1,35.8617411,139.6174744,サカワショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,田島小学校,埼玉県さいたま市桜区田島10-12-1,35.83771255,139.623297,タジマショウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大久保東小学校,埼玉県さいたま市桜区大久保領家331,35.87133149,139.6031951,オオクボヒガシショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,新開小学校,埼玉県さいたま市桜区新開2-18-1,35.85089827,139.6180774,シビラキショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,神田小学校,埼玉県さいたま市桜区神田541-1,35.87507813,139.6072633,ジンデショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,中島小学校,埼玉県さいたま市桜区中島1-28-1,35.86527733,139.6237969,ナカジマショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,土合中学校,埼玉県さいたま市桜区町谷1-19-1,35.86026506,139.6229423,ツチアイチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大久保中学校,埼玉県さいたま市桜区五関282,35.8667944,139.5977675,オオクボチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,田島中学校,埼玉県さいたま市桜区田島10-13-1,35.83840401,139.622546,タジマチュウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,上大久保中学校,埼玉県さいたま市桜区上大久保861-1,35.87142022,139.6163783,カミオオクボチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立浦和北高等学校,埼玉県さいたま市桜区五関595,35.86702939,139.5947776,ケンリツウラワキタコウトウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立浦和工業高等学校,埼玉県さいたま市桜区西堀5-1-1,35.853768,139.626939,ケンリツウラワコウギョウコウトウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,荒川総合運動公園,埼玉県さいたま市桜区大字在家591,35.87470676,139.58199,アラカワソウゴウウンドウコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,荒川総合運動公園通り,埼玉県さいたま市桜区大字在家137,35.87746203,139.5850312,アラカワソウゴウウンドウコウエンドオリ,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,千貫樋水郷公園,埼玉県さいたま市桜区大字五関字中島地内,35.86272061,139.594947,センガンビスイゴウコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,西堀高沼公園,埼玉県さいたま市桜区西堀8-2019-2,35.8586182,139.635181,ニシボリタカヌマコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,荒川彩湖公園,埼玉県さいたま市桜区大字田島3513-1,35.83511481,139.6222885,アラカワサイココウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,桜草公園,埼玉県さいたま市桜区大字田島3542-1,35.83728926,139.6205075,サクラソウコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,高砂小学校,埼玉県さいたま市浦和区岸町4-1-29,35.85653001,139.6566507,タカサゴショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,常盤小学校,埼玉県さいたま市浦和区常盤9-30-9,35.86877797,139.6429544,トキワショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,木崎小学校,埼玉県さいたま市浦和区領家4-19-4,35.88277511,139.6529055,キザキショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,仲本小学校,埼玉県さいたま市浦和区本太2-12-31,35.86189026,139.6606412,ナカモトショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,本太小学校,埼玉県さいたま市浦和区本太2-26-25,35.8654139,139.657363,モトブトショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,北浦和小学校,埼玉県さいたま市浦和区北浦和2-18-3,35.87734452,139.6481922,キタウラワショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,仲町小学校,埼玉県さいたま市浦和区常盤8-18-4,35.86431854,139.6404187,ナカチョウショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,上木崎小学校,埼玉県さいたま市浦和区上木崎3-4-3,35.88768648,139.6428738,カミキザキショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,岸町小学校,埼玉県さいたま市浦和区岸町5-20-4,35.851019,139.650243,キシチョウショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,針ヶ谷小学校,埼玉県さいたま市浦和区領家7-2-1,35.88186306,139.6488455,ハリガヤショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大東小学校,埼玉県さいたま市浦和区大東3-14-1,35.88318109,139.6644045,ダイトウショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,常盤北小学校,埼玉県さいたま市浦和区針ヶ谷4-2-12,35.87879257,139.6390361,トキワキタショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,常盤中学校,埼玉県さいたま市浦和区針ヶ谷4-1-9,35.878154,139.639298,トキワチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,木崎中学校,埼玉県さいたま市浦和区瀬ヶ崎2-17-1,35.879071,139.661463,キザキチュガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,本太中学校,埼玉県さいたま市浦和区領家1-4-15,35.87321135,139.6585612,モトブトチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大原中学校,埼玉県さいたま市浦和区大原3-1-11,35.89284993,139.6485809,オオハラチュウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和高等学校,埼玉県さいたま市浦和区元町1-28-17,35.87139187,139.6568465,ウラワコウトウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立浦和高等学校,埼玉県さいたま市浦和区領家5-3-3,35.87787242,139.6517228,ケンリツウラワコウトウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立浦和西高等学校,埼玉県さいたま市浦和区木崎3-1-1,35.8898078,139.6538,ケンリツウラワニシコウトウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町3-8-45,35.85275354,139.6581881,ケンリツウラワダイイチジョシコウトウガッコウ,可,可,可,,あり
