さいたま市町名別人口,2022/5/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11105,中央区　　               ,新中里５丁目　　　　,シンナカザト５チヨウ,1172,1192,1245,2437
11105,中央区　　               ,新都心　　　　　　　,シントシン　　　　　,163,146,168,314
11106,桜区　　　               ,西堀１丁目　　　　　,ニシボリ１チヨウメ　,401,384,375,759
11106,桜区　　　               ,西堀２丁目　　　　　,ニシボリ２チヨウメ　,1074,1116,1088,2204
11106,桜区　　　               ,西堀３丁目　　　　　,ニシボリ３チヨウメ　,1021,1039,1040,2079
11106,桜区　　　               ,西堀４丁目　　　　　,ニシボリ４チヨウメ　,1301,1339,1404,2743
11106,桜区　　　               ,西堀５丁目　　　　　,ニシボリ５チヨウメ　,532,625,604,1229
11106,桜区　　　               ,西堀６丁目　　　　　,ニシボリ６チヨウメ　,1001,1116,1020,2136
11106,桜区　　　               ,西堀７丁目　　　　　,ニシボリ７チヨウメ　,1083,1191,1148,2339
11106,桜区　　　               ,西堀８丁目　　　　　,ニシボリ８チヨウメ　,857,856,856,1712
11106,桜区　　　               ,西堀９丁目　　　　　,ニシボリ９チヨウメ　,701,726,748,1474
11106,桜区　　　               ,西堀１０丁目　　　　,ニシボリ１０チヨウメ,382,389,390,779
11106,桜区　　　               ,田島１丁目　　　　　,タジマ１チヨウメ　　,784,794,789,1583
11106,桜区　　　               ,田島２丁目　　　　　,タジマ２チヨウメ　　,661,624,649,1273
11106,桜区　　　               ,田島３丁目　　　　　,タジマ３チヨウメ　　,1186,1277,1259,2536
11106,桜区　　　               ,田島４丁目　　　　　,タジマ４チヨウメ　　,1195,1180,1138,2318
11106,桜区　　　               ,田島５丁目　　　　　,タジマ５チヨウメ　　,771,671,644,1315
11106,桜区　　　               ,田島６丁目　　　　　,タジマ６チヨウメ　　,1656,1278,1377,2655
11106,桜区　　　               ,田島７丁目　　　　　,タジマ７チヨウメ　　,81,84,95,179
11106,桜区　　　               ,田島８丁目　　　　　,タジマ８チヨウメ　　,274,278,226,504
11106,桜区　　　               ,田島９丁目　　　　　,タジマ９チヨウメ　　,279,236,211,447
11106,桜区　　　               ,田島１０丁目　　　　,タジマ１０チヨウメ　,644,782,761,1543
11106,桜区　　　               ,新開１丁目　　　　　,シビラキ１チヨウメ　,526,537,527,1064
11106,桜区　　　               ,新開２丁目　　　　　,シビラキ２チヨウメ　,219,231,215,446
11106,桜区　　　               ,新開３丁目　　　　　,シビラキ３チヨウメ　,19,11,14,25
11106,桜区　　　               ,大字道場　　　　　　,ドウジヨウ　　　　　,6,7,3,10
11106,桜区　　　               ,道場１丁目　　　　　,ドウジヨウ１チヨウメ,357,359,340,699
11106,桜区　　　               ,道場２丁目　　　　　,ドウジヨウ２チヨウメ,1412,1737,1725,3462
11106,桜区　　　               ,道場３丁目　　　　　,ドウジヨウ３チヨウメ,442,485,446,931
11106,桜区　　　               ,大字町谷　　　　　　,マチヤ　　　　　　　,2,2,0,2
11106,桜区　　　               ,町谷１丁目　　　　　,マチヤ１チヨウメ　　,425,515,502,1017
